/in X,/in Y
3.57082158020739e-05,1
3.631531813494494e-05,1
3.7529522800687e-05,1
3.88647614003435e-05,1
4.02e-05,1
4.025e-05,0.7500000000000109
4.031002037569595e-05,0.4498981215202843
4.033251528177196e-05,0.3374235911402115
4.034095087155047e-05,0.2952456422476883
4.035782205110748e-05,0.2108897444626421
4.037732032351708e-05,0.1133983824146051
4.04e-05,2.664535259100376e-14
4.040745547792961e-05,0
4.041835149899163e-05,0
4.042857770411988e-05,0
4.044903011437638e-05,0
4.047027799144915e-05,0
4.050618617881248e-05,0
4.055471908528986e-05,0
4.062745415084331e-05,0
4.072432981977341e-05,0
4.085759284382472e-05,0
4.105144947630925e-05,0
4.139239804588063e-05,0
4.207429518502337e-05,0
4.343808946330887e-05,0
4.616567801987987e-05,0
4.936567801987987e-05,0
5.256567801987987e-05,0
5.576567801987988e-05,0
5.788283900993995e-05,0
6.000000000000001e-05,3.388131789017201e-14
6.005000000000001e-05,0.2500000000000399
6.011002037569595e-05,0.5501018784797664
6.020000000000001e-05,0.9999999999999903
6.02117884344857e-05,1
6.023469479699689e-05,1
6.025691672095693e-05,1
6.030136056887701e-05,1
6.039024826471716e-05,1
6.056802365639746e-05,1
6.092357443975806e-05,1
6.163467600647927e-05,1
6.305687913992168e-05,1
6.590128540680651e-05,1
6.910128540680651e-05,1
7.23012854068065e-05,1
7.55012854068065e-05,1
7.785064270340326e-05,1
8.020000000000001e-05,1
8.025000000000001e-05,0.74999999999996
8.031002037569596e-05,0.4498981215202336
8.040000000000002e-05,0
8.041185111210625e-05,0
8.043483859633282e-05,0
8.045707362347194e-05,0
8.050154367775017e-05,0
8.059048378630663e-05,0
8.07053063763072e-05,0
8.085911226146627e-05,0
8.107585872352122e-05,0
8.148300149939236e-05,0
8.229728705113463e-05,0
8.392585815461916e-05,0
8.712585815461916e-05,0
9.032585815461916e-05,0
9.352585815461915e-05,0
9.672585815461915e-05,0
9.836292907730958e-05,0
0.0001,6.776263578034403e-14
0.00010005,0.2500000000000738
0.000100110020375696,0.5501018784798003
0.0001002,1
0.0001002117884344857,1
0.0001002346947969969,1
0.0001002569167209569,1
0.000100301360568877,1
0.0001003902482647171,1
0.0001005680236563973,1
0.0001009235744397576,1
0.0001016346760064784,1
0.00010305687913992,1
0.0001059012854068031,1
0.000109101285406803,1
0.000112301285406803,1
0.000115501285406803,1
0.0001178506427034015,1
0.0001202,1
0.00012025,0.749999999999994
0.000120310020375696,0.4498981215202674
0.0001204,0
0.0001204118708526218,0
0.0001204348838567546,0
0.0001204571230080016,0
0.0001205016013104956,0
0.0001205905579154837,0
0.0001207096139279055,0
0.0001208669652444039,0
0.000121085577009105,0
0.0001214728009396862,0
0.0001222472488008487,0
0.0001237961445231736,0
0.0001268939359678235,0
0.0001300939359678235,0
0.0001332939359678235,0
0.0001364939359678235,0
0.0001382469679839117,0
0.00014,0
0.00014005,0.2500000000000061
0.000140110020375696,0.5501018784797326
0.0001402,1
0.0001402117884344857,1
0.0001402346947969969,1
0.000140256916720957,1
0.000140301360568877,1
0.0001403902482647171,1
0.0001405680236563973,1
0.0001409235744397577,1
0.0001416346760064785,1
0.00014305687913992,1
0.0001459012854068031,1
0.0001491012854068031,1
0.0001523012854068031,1
0.0001555012854068031,1
0.0001577506427034016,1
0.00016,1
